,complex,putative_genes,coeffs,monomer_id,gene,obj_ids
199,&beta;-glucoside specific PTS enzyme II / BglG kinase / BglG phosphatase,bglF,2,BGLF-MONOMER,bglF,BGLF-MONOMER
200,&beta;-hydroxyacyl-acyl carrier protein dehydratase/isomerase,fabA,2,FABA-MONOMER,fabA,FABA-MONOMER
201,&beta;-ketoacyl-[acyl carrier protein] synthase I,fabB,2,FABB-MONOMER,fabB,FABB-MONOMER
202,&beta;-ketoacyl-[acyl carrier protein] synthase II,fabF,2,3-OXOACYL-ACP-SYNTHII-MONOMER,fabF,3-OXOACYL-ACP-SYNTHII-MONOMER
203,&beta;-ketoacyl-[acyl carrier protein] synthase III,fabH,2,FABH-MONOMER,fabH,FABH-MONOMER
204,betaine aldehyde dehydrogenase,betB,4,BADH-MONOMER,betB,BADH-MONOMER
205,BglG - his101 phosphorylated,bglG,2,EG10116-MONOMER,bglG,EG10116-MONOMER
206,BglG - his208 phosphorylated,bglG,2,EG10116-MONOMER,bglG,EG10116-MONOMER
207,bifunctional 3-demethylubiquinone-<i>8</i> 3-<i>O</i>-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase,ubiG,2,DHHB-METHYLTRANSFER-MONOMER,ubiG,DHHB-METHYLTRANSFER-MONOMER
208,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase",folD,2,FOLD-MONOMER,folD,FOLD-MONOMER
209,bifunctional aconitate hydratase B and 2-methylisocitrate dehydratase,acnB,2,ACONITATEDEHYDRB-MONOMER,acnB,ACONITATEDEHYDRB-MONOMER
210,bifunctional sensory histidine kinase PhoQ,phoQ,2,PHOQ-MONOMER,phoQ,PHOQ-MONOMER
211,biotin carboxyl carrier protein (dimer),accB,2,BCCP-BIOTIN,,BCCP-BIOTIN
212,biotin carboxylase,accC,2,BIOTIN-CARBOXYL-MONOMER,accC,BIOTIN-CARBOXYL-MONOMER
213,biotin synthase,bioB,2,BIOTIN-SYN-MONOMER,bioB,BIOTIN-SYN-MONOMER
214,branched chain amino acid / phenylalanine ABC transporter,"livJ"" // ""livM"" // ""livH"" // ""livG"" // ""livF",1,LIVJ-MONOMER,livJ,LIVJ-MONOMER
215,branched chain amino acid / phenylalanine ABC transporter,"livJ"" // ""livM"" // ""livH"" // ""livG"" // ""livF",1,LIVM-MONOMER,livM,LIVM-MONOMER
216,branched chain amino acid / phenylalanine ABC transporter,"livJ"" // ""livM"" // ""livH"" // ""livG"" // ""livF",1,LIVH-MONOMER,livH,LIVH-MONOMER
217,branched chain amino acid / phenylalanine ABC transporter,"livJ"" // ""livM"" // ""livH"" // ""livG"" // ""livF",1,LIVG-MONOMER,livG,LIVG-MONOMER
218,branched chain amino acid / phenylalanine ABC transporter,"livJ"" // ""livM"" // ""livH"" // ""livG"" // ""livF",1,LIVF-MONOMER,livF,LIVF-MONOMER
219,branched-chain-amino-acid aminotransferase,ilvE,6,BRANCHED-CHAINAMINOTRANSFER-MONOMER,ilvE,BRANCHED-CHAINAMINOTRANSFER-MONOMER
220,c-di-GMP-binding biofilm dispersal mediator protein,bdcA,2,G7880-MONOMER,bdcA,G7880-MONOMER
221,"carbamoyl phosphate synthetase subunit &beta;"" // ""carbamoyl phosphate synthetase subunit &alpha;","carA"" // ""carB",2,CARBPSYN-SMALL,carA,CARBPSYN-SMALL
222,"carbamoyl phosphate synthetase subunit &beta;"" // ""carbamoyl phosphate synthetase subunit &alpha;","carA"" // ""carB",2,CARBPSYN-LARGE,carB,CARBPSYN-LARGE
223,carbon storage regulator,csrA,2,EG11447-MONOMER,csrA,EG11447-MONOMER
224,carbon-phosphorus lyase core complex,"phnG"" // ""phnH"" // ""phnI"" // ""phnJ",2,EG10716-MONOMER,phnG,EG10716-MONOMER
225,carbon-phosphorus lyase core complex,"phnG"" // ""phnH"" // ""phnI"" // ""phnJ",2,EG10717-MONOMER,phnH,EG10717-MONOMER
226,carbon-phosphorus lyase core complex,"phnG"" // ""phnH"" // ""phnI"" // ""phnJ",2,EG10718-MONOMER,phnI,EG10718-MONOMER
227,carbon-phosphorus lyase core complex,"phnG"" // ""phnH"" // ""phnI"" // ""phnJ",2,EG10719-MONOMER,phnJ,EG10719-MONOMER
228,carbonic anhydrase 1,cynT,2,CARBODEHYDRAT-MONOMER,cynT,CARBODEHYDRAT-MONOMER
229,carbonic anhydrase 2,can,4,EG12319-MONOMER,can,EG12319-MONOMER
230,carboxy-<i>S</i>-adenosyl-L-methionine synthase,cmoA,2,G7020-MONOMER,cmoA,G7020-MONOMER
231,carboxylate-amine ligase,ybdK,2,G6326-MONOMER,ybdK,G6326-MONOMER
232,carboxylesterase,yjfP,2,G7853-MONOMER,yjfP,G7853-MONOMER
233,carnitine monooxygenase,"yeaW"" // ""yeaX",1,G6988-MONOMER,yeaW,G6988-MONOMER
234,carnitine monooxygenase,"yeaW"" // ""yeaX",1,G6989-MONOMER,yeaX,G6989-MONOMER
235,Cas2 dimer,cas2,2,EG12845-MONOMER,cas2,EG12845-MONOMER
236,catabolic threonine dehydratase,tdcB,4,THREDEHYDCAT-MONOMER,tdcB,THREDEHYDCAT-MONOMER
237,catalase II,katE,4,HYDROPEROXIDII-MONOMER,katE,HYDROPEROXIDII-MONOMER
238,cell division factor ZapB,zapB,2,EG11878-MONOMER,zapB,EG11878-MONOMER
239,cell division factor ZapD,zapD,2,EG12313-MONOMER,zapD,EG12313-MONOMER
240,cell division protein ZapA,zapA,4,EG12878-MONOMER,zapA,EG12878-MONOMER
241,cellulose synthase,"bcsA"" // ""bcsB",1,EG12260-MONOMER,bcsA,EG12260-MONOMER
242,cellulose synthase,"bcsA"" // ""bcsB",1,EG12259-MONOMER,bcsB,EG12259-MONOMER
243,chaperone protein DnaJ,dnaJ,2,EG10240-MONOMER,dnaJ,EG10240-MONOMER
244,chemotaxis protein CheZ,cheZ,2,CHEZ-MONOMER,cheZ,CHEZ-MONOMER
245,chemotaxis signaling complex - aspartate sensing,"tar"" // ""cheW"" // ""cheA",3,CPLX0-8102,,CPLX0-8102
246,chemotaxis signaling complex - aspartate sensing,"tar"" // ""cheW"" // ""cheA",6,TAR-MONOMER,tar,TAR-MONOMER
247,chemotaxis signaling complex - aspartate sensing,"tar"" // ""cheW"" // ""cheA",2,CHEW-MONOMER,cheW,CHEW-MONOMER
248,chemotaxis signaling complex - aspartate sensing,"tar"" // ""cheW"" // ""cheA",1,CHEA-CPLX,,CHEA-CPLX
249,chemotaxis signaling complex - aspartate sensing,"tar"" // ""cheW"" // ""cheA",2,PROTEIN-CHEA,cheA,PROTEIN-CHEA
250,chemotaxis signaling complex - dipeptide sensing,"tap"" // ""cheW"" // ""cheA",3,CPLX0-8104,,CPLX0-8104
251,chemotaxis signaling complex - dipeptide sensing,"tap"" // ""cheW"" // ""cheA",6,TAP-MONOMER,tap,TAP-MONOMER
252,chemotaxis signaling complex - dipeptide sensing,"tap"" // ""cheW"" // ""cheA",2,CHEW-MONOMER,cheW,CHEW-MONOMER
253,chemotaxis signaling complex - dipeptide sensing,"tap"" // ""cheW"" // ""cheA",1,CHEA-CPLX,,CHEA-CPLX
254,chemotaxis signaling complex - dipeptide sensing,"tap"" // ""cheW"" // ""cheA",2,PROTEIN-CHEA,cheA,PROTEIN-CHEA
255,chemotaxis signaling complex - ribose/galactose/glucose sensing,"trg"" // ""cheW"" // ""cheA",3,CPLX0-8105,,CPLX0-8105
256,chemotaxis signaling complex - ribose/galactose/glucose sensing,"trg"" // ""cheW"" // ""cheA",6,TRG-MONOMER,trg,TRG-MONOMER
257,chemotaxis signaling complex - ribose/galactose/glucose sensing,"trg"" // ""cheW"" // ""cheA",2,CHEW-MONOMER,cheW,CHEW-MONOMER
258,chemotaxis signaling complex - ribose/galactose/glucose sensing,"trg"" // ""cheW"" // ""cheA",1,CHEA-CPLX,,CHEA-CPLX
259,chemotaxis signaling complex - ribose/galactose/glucose sensing,"trg"" // ""cheW"" // ""cheA",2,PROTEIN-CHEA,cheA,PROTEIN-CHEA
260,chemotaxis signaling complex - serine sensing,"tsr"" // ""cheA"" // ""cheW",3,CPLX0-8103,,CPLX0-8103
261,chemotaxis signaling complex - serine sensing,"tsr"" // ""cheA"" // ""cheW",6,TSR-MONOMER,tsr,TSR-MONOMER
262,chemotaxis signaling complex - serine sensing,"tsr"" // ""cheA"" // ""cheW",1,CHEA-CPLX,,CHEA-CPLX
263,chemotaxis signaling complex - serine sensing,"tsr"" // ""cheA"" // ""cheW",2,PROTEIN-CHEA,cheA,PROTEIN-CHEA
264,chemotaxis signaling complex - serine sensing,"tsr"" // ""cheA"" // ""cheW",2,CHEW-MONOMER,cheW,CHEW-MONOMER
265,chloride:H<sup>+</sup> antiporter ClcA,clcA,2,YADQ-MONOMER,clcA,YADQ-MONOMER
266,chorismate synthase,aroC,4,AROC-MONOMER,aroC,AROC-MONOMER
267,ChpB-ChpS complex,"chpS"" // ""chpB",1,EG11250-MONOMER,chpS,EG11250-MONOMER
268,ChpB-ChpS complex,"chpS"" // ""chpB",1,EG12096-MONOMER,chpB,EG12096-MONOMER
269,chromate reductase,yieF,2,EG11723-MONOMER,yieF,EG11723-MONOMER
270,chromosome partitioning protein MukB,mukB,2,EG10618-MONOMER,mukB,EG10618-MONOMER
271,citrate lyase [acyl carrier protein] component,citD,6,ACPSUB-MONOMER,citD,ACPSUB-MONOMER
272,"citrate lyase, citrate-acyl carrier protein transferase component",citF,6,CITTRANS-MONOMER,citF,CITTRANS-MONOMER
273,"citrate lyase, citryl-acyl carrrier protein lyase component",citE,6,CITRYLY-MONOMER,citE,CITRYLY-MONOMER
274,citrate synthase,gltA,6,CITSYN-MONOMER,gltA,CITSYN-MONOMER
275,ClpA ATP-dependent protease specificity component and chaperone,clpA,6,EG10156-MONOMER,clpA,EG10156-MONOMER
276,ClpB chaperone,clpB,6,EG10157-MONOMER,clpB,EG10157-MONOMER
277,ClpP serine protease,clpP,1,EG10158-MONOMER,clpP,EG10158-MONOMER
278,ClpX ATP-dependent protease specificity component and chaperone,clpX,6,EG10159-MONOMER,clpX,EG10159-MONOMER
279,ClpXP protease specificity-enhancing factor,sspB,2,EG10978-MONOMER,sspB,EG10978-MONOMER
280,cobinamide-P guanylyltransferase / cobinamide kinase,cobU,2,COBU-MONOMER,cobU,COBU-MONOMER
281,conserved DNA-binding protein,ybaB,2,EG11100-MONOMER,ybaB,EG11100-MONOMER
282,conserved protein,ydiE,2,EG12391-MONOMER,ydiE,EG12391-MONOMER
283,copper binding protein CutA,cutA,3,EG12177-MONOMER,cutA,EG12177-MONOMER
284,copper-containing amine oxidase,tynA,2,AMINEOXID-MONOMER,tynA,AMINEOXID-MONOMER
285,copper/silver export system,"cusA"" // ""cusF"" // ""cusB"" // ""cusC",3,YBDE-MONOMER,cusA,YBDE-MONOMER
286,copper/silver export system,"cusA"" // ""cusF"" // ""cusB"" // ""cusC",1,G6321-MONOMER,cusF,G6321-MONOMER
287,copper/silver export system,"cusA"" // ""cusF"" // ""cusB"" // ""cusC",6,G6322-MONOMER,cusB,G6322-MONOMER
288,copper/silver export system,"cusA"" // ""cusF"" // ""cusB"" // ""cusC",3,G6320-MONOMER,cusC,G6320-MONOMER
289,coproporphyrinogen III oxidase,hemF,2,COPROGENOXI-MONOMER,hemF,COPROGENOXI-MONOMER
290,"CP4-57 prophage; RNase LS, toxin of the RnlAB toxin-antitoxin system",rnlA,2,G7365-MONOMER,rnlA,G7365-MONOMER
291,CP4-6 prophage; putative 2-keto-3-deoxygluconate aldolase,yagE,4,G6140-MONOMER,yagE,G6140-MONOMER
292,CRISPR-associated complex for antiviral defense,"casE"" // ""casD"" // ""casC"" // ""casB"" // ""casA",1,G7426-MONOMER,casE,G7426-MONOMER
293,CRISPR-associated complex for antiviral defense,"casE"" // ""casD"" // ""casC"" // ""casB"" // ""casA",1,G7427-MONOMER,casD,G7427-MONOMER
294,CRISPR-associated complex for antiviral defense,"casE"" // ""casD"" // ""casC"" // ""casB"" // ""casA",6,G7428-MONOMER,casC,G7428-MONOMER
295,CRISPR-associated complex for antiviral defense,"casE"" // ""casD"" // ""casC"" // ""casB"" // ""casA",2,G7429-MONOMER,casB,G7429-MONOMER
296,CRISPR-associated complex for antiviral defense,"casE"" // ""casD"" // ""casC"" // ""casB"" // ""casA",1,G7430-MONOMER,casA,G7430-MONOMER
297,cryptic phosphonate ABC transporter,"phnD"" // ""phnE_1"" // ""phnC",1,PHND-MONOMER,phnD,PHND-MONOMER
298,cryptic phosphonate ABC transporter,"phnD"" // ""phnE_1"" // ""phnC",2,PHNE-MONOMER,phnE_1,PHNE-MONOMER
299,cryptic phosphonate ABC transporter,"phnD"" // ""phnE_1"" // ""phnC",2,PHNC-MONOMER,phnC,PHNC-MONOMER
300,CTP synthase,pyrG,4,CTPSYN-MONOMER,pyrG,CTPSYN-MONOMER
301,"curli transport specificity factor"" // ""curli secretion channel","csgG"" // ""csgE",9,G6543-MONOMER,csgG,G6543-MONOMER
302,"curli transport specificity factor"" // ""curli secretion channel","csgG"" // ""csgE",9,G6545-MONOMER,csgE,G6545-MONOMER
303,curved DNA-binding protein,cbpA,2,EG12193-MONOMER,cbpA,EG12193-MONOMER
304,cyanase,cynS,1,CYANLY-MONOMER,cynS,CYANLY-MONOMER
305,cyclic di-GMP phosphodiesterase PdeF,pdeF,2,G7314-MONOMER,pdeF,G7314-MONOMER
306,cyclic pyranopterin monophosphate synthase,moaC,6,EG11666-MONOMER,moaC,EG11666-MONOMER
307,cyclopropane fatty acyl phospholipid synthase,cfa,2,CFA-MONOMER,cfa,CFA-MONOMER
308,cystathionine-&beta;-lyase / L-cysteine desulfhydrase,metC,4,CYSTATHIONINE-BETA-LYASE-MONOMER,metC,CYSTATHIONINE-BETA-LYASE-MONOMER
309,cysteine desulfurase,iscS,2,G7325-MONOMER,iscS,G7325-MONOMER
310,cysteine sulfinate desulfinase,csdA,2,G7454-MONOMER,csdA,G7454-MONOMER
311,cysteine synthase A,cysK,2,ACSERLYA-MONOMER,cysK,ACSERLYA-MONOMER
312,cysteine synthase B,cysM,2,ACSERLYB-MONOMER,cysM,ACSERLYB-MONOMER
313,cystine / cysteine ABC transporter,"tcyJ"" // ""tcyL"" // ""tcyN",1,G7039-MONOMER,tcyJ,G7039-MONOMER
314,cystine / cysteine ABC transporter,"tcyJ"" // ""tcyL"" // ""tcyN",2,G7037-MONOMER,tcyL,G7037-MONOMER
315,cystine / cysteine ABC transporter,"tcyJ"" // ""tcyL"" // ""tcyN",2,EG12347-MONOMER,tcyN,EG12347-MONOMER
316,cytidine/deoxycytidine deaminase,cdd,2,CYTIDEAM-MONOMER,cdd,CYTIDEAM-MONOMER
317,"cytochrome <i>bd</i>-I ubiquinol oxidase subunit I"" // ""cytochrome <i>bd</i>-I ubiquinol oxidase subunit II"" // ""cytochrome <i>bd</i>-I ubiquinol oxidase subunit CydX","cydX"" // ""cydB"" // ""cydA",1,MONOMER0-2663,cydX,MONOMER0-2663
318,"cytochrome <i>bd</i>-I ubiquinol oxidase subunit I"" // ""cytochrome <i>bd</i>-I ubiquinol oxidase subunit II"" // ""cytochrome <i>bd</i>-I ubiquinol oxidase subunit CydX","cydX"" // ""cydB"" // ""cydA",1,CYDB-MONOMER,cydB,CYDB-MONOMER
319,"cytochrome <i>bd</i>-I ubiquinol oxidase subunit I"" // ""cytochrome <i>bd</i>-I ubiquinol oxidase subunit II"" // ""cytochrome <i>bd</i>-I ubiquinol oxidase subunit CydX","cydX"" // ""cydB"" // ""cydA",1,CYDA-MONOMER,cydA,CYDA-MONOMER
320,cytochrome <i>bd</i>-II ubiquinol oxidase,"appB"" // ""appC",1,APPB-MONOMER,appB,APPB-MONOMER
321,cytochrome <i>bd</i>-II ubiquinol oxidase,"appB"" // ""appC",1,APPC-MONOMER,appC,APPC-MONOMER
322,cytochrome <i>bo<sub>3</sub></i> ubiquinol oxidase,"cyoC"" // ""cyoB"" // ""cyoA"" // ""cyoD",1,CYOC-MONOMER,cyoC,CYOC-MONOMER
323,cytochrome <i>bo<sub>3</sub></i> ubiquinol oxidase,"cyoC"" // ""cyoB"" // ""cyoA"" // ""cyoD",1,CYOB-MONOMER,cyoB,CYOB-MONOMER
324,cytochrome <i>bo<sub>3</sub></i> ubiquinol oxidase,"cyoC"" // ""cyoB"" // ""cyoA"" // ""cyoD",1,CYOA-MONOMER,cyoA,CYOA-MONOMER
325,cytochrome <i>bo<sub>3</sub></i> ubiquinol oxidase,"cyoC"" // ""cyoB"" // ""cyoA"" // ""cyoD",1,CYOD-MONOMER,cyoD,CYOD-MONOMER
326,cytosine/isoguanine deaminase,codA,6,CYTDEAM-MONOMER,codA,CYTDEAM-MONOMER
327,D-alanine&mdash;D-alanine ligase B,ddlB,2,DALADALALIGB-MONOMER,ddlB,DALADALALIGB-MONOMER
328,"D-allose ABC transporter ATP binding subunit"" // ""D-allose ABC transporter membrane subunit"" // ""D-allose ABC transporter periplasmic binding protein","alsB"" // ""alsC"" // ""alsA",1,YJCX-MONOMER,alsB,YJCX-MONOMER
329,"D-allose ABC transporter ATP binding subunit"" // ""D-allose ABC transporter membrane subunit"" // ""D-allose ABC transporter periplasmic binding protein","alsB"" // ""alsC"" // ""alsA",2,YJCV-MONOMER,alsC,YJCV-MONOMER
330,"D-allose ABC transporter ATP binding subunit"" // ""D-allose ABC transporter membrane subunit"" // ""D-allose ABC transporter periplasmic binding protein","alsB"" // ""alsC"" // ""alsA",1,YJCW-MONOMER,alsA,YJCW-MONOMER
331,D-amino acid dehydrogenase,dadA,2,DALADEHYDROGA-MONOMER,dadA,DALADEHYDROGA-MONOMER
332,D-aminoacyl-tRNA deacylase,dtd,2,EG11852-MONOMER,dtd,EG11852-MONOMER
333,D-arabinose 5-phosphate isomerase GutQ,gutQ,4,,,EG10973-MONOMER
334,D-arabinose 5-phosphate isomerase KdsD,kdsD,4,G7662-MONOMER,kdsD,G7662-MONOMER
335,D-cysteine desulfhydrase,dcyD,2,DCYSDESULF-MONOMER,dcyD,DCYSDESULF-MONOMER
336,D-erythrose-4-phosphate dehydrogenase,epd,4,ERYTH4PDEHYDROG-MONOMER,epd,ERYTH4PDEHYDROG-MONOMER
337,D-galactose / methyl-&beta;-D-galactoside ABC transporter,"mglB"" // ""mglC"" // ""mglA",1,MGLB-MONOMER,mglB,MGLB-MONOMER
338,D-galactose / methyl-&beta;-D-galactoside ABC transporter,"mglB"" // ""mglC"" // ""mglA",2,MGLC-MONOMER,mglC,MGLC-MONOMER
339,D-galactose / methyl-&beta;-D-galactoside ABC transporter,"mglB"" // ""mglC"" // ""mglA",1,MGLA-MONOMER,mglA,MGLA-MONOMER
340,"D-gluconate kinase, thermostable",gntK,2,GLUCONOKINII-MONOMER,gntK,GLUCONOKINII-MONOMER
341,D-lactate dehydrogenase - fermentative,ldhA,4,DLACTDEHYDROGNAD-MONOMER,ldhA,DLACTDEHYDROGNAD-MONOMER
342,D-ribose pyranase,rbsD,1,EG10817-MONOMER,rbsD,EG10817-MONOMER
343,D-sedoheptulose 7-phosphate isomerase,lpcA,4,G6106-MONOMER,lpcA,G6106-MONOMER
344,dCMP phosphohydrolase,yfbR,2,G7185-MONOMER,yfbR,G7185-MONOMER
345,dCTP deaminase,dcd,3,DCTP-DEAM-MONOMER,dcd,DCTP-DEAM-MONOMER
346,deoxyuridine triphosphatase,dut,3,DUTP-PYROP-MONOMER,dut,DUTP-PYROP-MONOMER
347,Der GTPase-activating protein YihI,yihI,2,EG11835-MONOMER,yihI,EG11835-MONOMER
348,dethiobiotin synthetase,bioD,2,DETHIOBIOTIN-SYN-MONOMER,bioD,DETHIOBIOTIN-SYN-MONOMER
349,dGTP triphosphohydrolase,dgt,6,DGTPTRIPHYDRO-MONOMER,dgt,DGTPTRIPHYDRO-MONOMER
350,diacylglycerol kinase,dgkA,3,DIACYLGLYKIN-MONOMER,dgkA,DIACYLGLYKIN-MONOMER
351,diaminopimelate decarboxylase,lysA,2,DIAMINOPIMDECARB-MONOMER,lysA,DIAMINOPIMDECARB-MONOMER
352,diaminopimelate epimerase,dapF,2,DIAMINOPIMEPIM-MONOMER,dapF,DIAMINOPIMEPIM-MONOMER
353,diguanylate cyclase DgcM,dgcM,4,G6673-MONOMER,dgcM,G6673-MONOMER
354,diguanylate cyclase DgcZ,dgcZ,2,EG11643-MONOMER,dgcZ,EG11643-MONOMER
355,diguanylate cyclase DosC,dosC,2,G6784-MONOMER,dosC,G6784-MONOMER
356,dihydroneopterin aldolase,folB,8,H2NEOPTERINALDOL-MONOMER,folB,H2NEOPTERINALDOL-MONOMER
357,dihydroneopterin triphosphate 2'-epimerase,folX,8,H2NTPEPIM-MONOMER,folX,H2NTPEPIM-MONOMER
358,dihydroorotase,pyrC,2,DIHYDROOROT-MONOMER,pyrC,DIHYDROOROT-MONOMER
359,dihydropteroate synthase,folP,2,H2PTEROATESYNTH-MONOMER,folP,H2PTEROATESYNTH-MONOMER
360,dihydroxy-acid dehydratase,ilvD,2,DIHYDROXYACIDDEHYDRAT-MONOMER,ilvD,DIHYDROXYACIDDEHYDRAT-MONOMER
361,"dihydroxyacetone kinase, phosphotransferase component/protein-acetyllysine deacetylase",dhaM,2,EG12399-MONOMER,dhaM,EG12399-MONOMER
362,dimer of DNA topoisomerase IV subunit A,parC,2,EG10686-MONOMER,parC,EG10686-MONOMER
363,"dimethyl sulfoxide reductase subunit A"" // ""dimethyl sulfoxide reductase subunit B"" // ""dimethyl sulfoxide reductase subunit C","dmsC"" // ""dmsB"" // ""dmsA",1,DMSC-MONOMER,dmsC,DMSC-MONOMER
364,"dimethyl sulfoxide reductase subunit A"" // ""dimethyl sulfoxide reductase subunit B"" // ""dimethyl sulfoxide reductase subunit C","dmsC"" // ""dmsB"" // ""dmsA",1,DMSB-MONOMER,dmsB,DMSB-MONOMER
365,"dimethyl sulfoxide reductase subunit A"" // ""dimethyl sulfoxide reductase subunit B"" // ""dimethyl sulfoxide reductase subunit C","dmsC"" // ""dmsB"" // ""dmsA",1,DMSA-MONOMER,dmsA,DMSA-MONOMER
366,DinJ-YafQ antitoxin/toxin complex / DNA-binding transcriptional repressor,"dinJ"" // ""yafQ",2,G6110-MONOMER,dinJ,G6110-MONOMER
367,DinJ-YafQ antitoxin/toxin complex / DNA-binding transcriptional repressor,"dinJ"" // ""yafQ",2,G6109-MONOMER,yafQ,G6109-MONOMER
368,dipeptide ABC transporter,"dppA"" // ""dppC"" // ""dppB"" // ""dppF"" // ""dppD",1,DPPA-MONOMER,dppA,DPPA-MONOMER
369,dipeptide ABC transporter,"dppA"" // ""dppC"" // ""dppB"" // ""dppF"" // ""dppD",1,DPPC-MONOMER,dppC,DPPC-MONOMER
370,dipeptide ABC transporter,"dppA"" // ""dppC"" // ""dppB"" // ""dppF"" // ""dppD",1,DPPB-MONOMER,dppB,DPPB-MONOMER
371,dipeptide ABC transporter,"dppA"" // ""dppC"" // ""dppB"" // ""dppF"" // ""dppD",1,DPPF-MONOMER,dppF,DPPF-MONOMER
372,dipeptide ABC transporter,"dppA"" // ""dppC"" // ""dppB"" // ""dppF"" // ""dppD",1,DPPD-MONOMER,dppD,DPPD-MONOMER
373,disulfide reductase,yfcG,2,G7194-MONOMER,yfcG,G7194-MONOMER
374,disulfide reductase / organic hydroperoxide reductase,yghU,2,G7553-MONOMER,yghU,G7553-MONOMER
375,dITP/XTP pyrophosphatase,rdgB,2,G7530-MONOMER,rdgB,G7530-MONOMER
376,divisome protein complex FtsEX,"ftsX"" // ""ftsE",1,FTSX-MONOMER,ftsX,FTSX-MONOMER
377,divisome protein complex FtsEX,"ftsX"" // ""ftsE",2,FTSE-MONOMER,ftsE,FTSE-MONOMER
378,DLP12 prophage; crossover junction endodeoxyribonuclease RusA,rusA,2,G6306-MONOMER,rusA,G6306-MONOMER
379,DLP12 prophage; DNA base-flipping protein,ybcN,2,G6303-MONOMER,ybcN,G6303-MONOMER
380,DNA gyrase,"gyrB"" // ""gyrA",2,EG10424-MONOMER,gyrB,EG10424-MONOMER
381,DNA gyrase,"gyrB"" // ""gyrA",2,EG10423-MONOMER,gyrA,EG10423-MONOMER
382,DNA polymerase III subunit &beta;,dnaN,2,EG10242-MONOMER,dnaN,EG10242-MONOMER
383,"DNA polymerase III, core enzyme","holE"" // ""dnaQ"" // ""dnaE",1,EG11505-MONOMER,holE,EG11505-MONOMER
384,"DNA polymerase III, core enzyme","holE"" // ""dnaQ"" // ""dnaE",1,EG10243-MONOMER,dnaQ,EG10243-MONOMER
385,"DNA polymerase III, core enzyme","holE"" // ""dnaQ"" // ""dnaE",1,EG10238-MONOMER,dnaE,EG10238-MONOMER
386,"DNA polymerase III, &psi;-&chi; subunit","holD"" // ""holC",1,EG11414-MONOMER,holD,EG11414-MONOMER
387,"DNA polymerase III, &psi;-&chi; subunit","holD"" // ""holC",1,EG11413-MONOMER,holC,EG11413-MONOMER
388,DNA polymerase V,"umuD"" // ""umuC",2,EG11057-MONOMER,umuD,EG11057-MONOMER
389,DNA polymerase V,"umuD"" // ""umuC",1,EG11056-MONOMER,umuC,EG11056-MONOMER
390,DNA replication inhibitor,cspD,2,EG11111-MONOMER,cspD,EG11111-MONOMER
391,DNA-binding transcriptional activator CaiF,caiF,2,G6088-MONOMER,caiF,G6088-MONOMER
392,DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL,pdeL,2,EG11236-MONOMER,pdeL,EG11236-MONOMER
393,DNA-binding transcriptional dual regulator ArgP,argP,2,EG10490-MONOMER,argP,EG10490-MONOMER
394,DNA-binding transcriptional dual regulator ArgR,argR,6,PD00194,argR,PD00194
395,DNA-binding transcriptional dual regulator AsnC,asnC,2,PD00250,asnC,PD00250
396,DNA-binding transcriptional dual regulator Cra,cra,4,PD00521,cra,PD00521
397,DNA-binding transcriptional dual regulator CRP,crp,2,PD00257,crp,PD00257
398,DNA-binding transcriptional dual regulator CysB,cysB,4,PD00232,cysB,PD00232
399,DNA-binding transcriptional dual regulator DsdC,dsdC,2,PD00297,dsdC,PD00297
400,DNA-binding transcriptional dual regulator Fis,fis,2,PD00196,fis,PD00196
401,DNA-binding transcriptional dual regulator FNR,fnr,2,PD00197,fnr,PD00197
402,DNA-binding transcriptional dual regulator HU,"hupB"" // ""hupA",1,EG10467-MONOMER,hupB,EG10467-MONOMER
403,DNA-binding transcriptional dual regulator HU,"hupB"" // ""hupA",1,EG10466-MONOMER,hupA,EG10466-MONOMER
404,DNA-binding transcriptional dual regulator IHF,"ihfB"" // ""ihfA",1,PD00348,ihfB,PD00348
405,DNA-binding transcriptional dual regulator IHF,"ihfB"" // ""ihfA",1,PD00347,ihfA,PD00347
406,DNA-binding transcriptional dual regulator MetR,metR,2,PD03938,metR,PD03938
407,DNA-binding transcriptional dual regulator ModE,modE,2,MONOMER0-185,modE,MONOMER0-185
408,DNA-binding transcriptional dual regulator MurR,murR,4,G7262-MONOMER,murR,G7262-MONOMER
409,DNA-binding transcriptional dual regulator TorR,torR,2,TORR-MONOMER,torR,TORR-MONOMER
410,DNA-binding transcriptional repressor ArsR,arsR,2,EG12235-MONOMER,arsR,EG12235-MONOMER
411,DNA-binding transcriptional repressor CytR,cytR,2,PD04028,cytR,PD04028
412,DNA-binding transcriptional repressor FrmR,frmR,4,G6209-MONOMER,frmR,G6209-MONOMER
413,DNA-binding transcriptional repressor LexA,lexA,2,PD00205,lexA,PD00205
414,DNA-binding transcriptional repressor LsrR,lsrR,4,G6799-MONOMER,lsrR,G6799-MONOMER
415,DNA-binding transcriptional repressor MarR,marR,2,PD00364,marR,PD00364
416,DNA-binding transcriptional repressor MngR,mngR,2,PD01103,mngR,PD01103
417,DNA-binding transcriptional repressor MprA,mprA,2,EG10603-MONOMER,mprA,EG10603-MONOMER
