(Proteins Complexes Compounds),Object ID,Gene
putative acyl transferase,EG11984-MONOMER,wbbJ
anaerobic nucleoside-triphosphate reductase activating system,NRDACTMULTI-CPLX,
<i>N</i>-acetylmuramoyl-L-alanine amidase A,NACMURLALAAMI1-MONOMER,amiA
FlhDC DNA-binding transcriptional dual regulator,CPLX0-3930,
conserved protein YidB,EG11196-MONOMER,yidB
L-methionine/D-methionine ABC transporter,METNIQ-METHIONINE-ABC-CPLX,
ferric citrate ABC transporter ATP binding subunit,FECE-MONOMER,fecE
YefM-YoeB antitoxin/toxin complex / DNA-binding transcriptional repressor,CPLX0-3781,
putrescine ABC exporter ATP binding protein SapD,SAPD-MONOMER,sapD
"L(+)-tartrate dehydratase subunit &alpha;"" // ""L(+)-tartrate dehydratase subunit &beta;",LTARTDEHYDRA-CPLX,
periplasmic protease,G6470-MONOMER,ycaL
ribonuclease E,CPLX0-3461,
Kdo<sub>2</sub>-lipid A phosphotransferase,G7146-MONOMER,lpxT
homoserine kinase,HOMOSERKIN-CPLX,
holo-[acyl-carrier-protein] synthase,HOLO-ACP-SYNTH-MONOMER,acpS
chromate reductase,CPLX0-3121,
putative 4Fe-4S ferredoxin-type protein,G6923-MONOMER,ydiT
glycine&mdash;tRNA ligase,GLYS-CPLX,
glycoside hydrolase,G7599-MONOMER,ygjK
periplasmic serine endoprotease DegP,CPLX0-2921,
nucleotide exchange factor GrpE,EG10416-MONOMER,grpE
"imidazole glycerol phosphate synthase subunit HisH"" // ""imidazole glycerol phosphate synthase subunit HisF",GLUTAMIDOTRANS-CPLX,
<i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP,CIS-DELTA3-DECENOYL-ACP,acpP
&beta;-ketoacyl-[acyl carrier protein] synthase III,CPLX0-252,
EG11956-MONOMER,EG11956-MONOMER,alsK
periplasmic acid stress chaperone,CPLX0-801,
ribose 1-phosphokinase,MONOMER0-702,
fumarase C,FUMARASE-C,
tRNA pseudouridine<sup>55</sup> synthase,EG11177-MONOMER,truB
"tagatose-1,6-bisphosphate aldolase 1",CPLX0-240,
hexuronate transporter,EXUT-MONOMER,exuT
HypCD complex involved in hydrogenase maturation,CPLX0-7986,
L-ribulose-5-phosphate 4-epimerase AraD,RIBULPEPIM-MONOMER,araD
"fatty acid oxidation complex, &alpha; component",FADB-CPLX,
DUF3828 domain-containing putative lipoprotein YbjP,G6450-MONOMER,ybjP
multidrug efflux pump EmrKY-TolC,CPLX0-2161,
putative peptidase YegQ,G7118-MONOMER,yegQ
L-amino acid N-acyltransferase,CPLX0-7962,
putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin reductase subunit,HCAD-MONOMER,hcaD
lipoamide dehydrogenase,E3-CPLX,
"L,D-transpeptidase LdtE",G6904-MONOMER,ldtE
oligoribonuclease,CPLX0-1821,
esterase YqiA,G7578-MONOMER,yqiA
CP4-6 prophage; putative 2-keto-3-deoxygluconate aldolase,CPLX0-7940,
cell division protein FtsQ,EG10342-MONOMER,ftsQ
dihydroorotase,DIHYDROOROT-CPLX,
CDPDIGLYPYPHOSPHA-MONOMER,CDPDIGLYPYPHOSPHA-MONOMER,cdh
SufBC<sub>2</sub>D Fe-S cluster scaffold complex,CPLX0-1341,
uncharacterized protein YjbM,EG11931-MONOMER,yjbM
multifunctional nuclease Cas1,CPLX0-7914,
putative YgdA,EG11154-MONOMER,ppdC
cytochrome <i>bo<sub>3</sub></i> ubiquinol oxidase,CYT-O-UBIOX-CPLX,
ribosome modulation factor,EG50004-MONOMER,rmf
primosomal protein DnaT,CPLX0-0,
L-rhamnose isomerase,RHAMNISOM-MONOMER,rhaA
sensory histidine kinase AtoS,CPLX0-7870,
putative c-di-GMP phosphodiesterase PdeI,G6433-MONOMER,pdeI
5-oxoprolinase,CPLX0-8249,
undecaprenyl-phosphate glucose phosphotransferase,G7098-MONOMER,wcaJ
DNA-binding transcriptional activator EvgA,EVGA-MONOMER,evgA
N-acetylglucosamine specific PTS enzyme II,CPLX-167,
inosine/guanosine kinase,GSK-MONOMER,gsk
dITP/XTP pyrophosphatase,CPLX0-7826,
superoxide dismutase (Cu-Zn),G6886-MONOMER,sodC
FicT-FicA complex,CPLX0-8227,
disulfide reductase / organic hydroperoxide reductase,G7553-MONOMER,yghU
fused chorismate mutase/prephenate dehydrogenase,CHORISMUTPREPHENDEHYDROG-CPLX,
putative adenosine monophosphate&mdash;protein transferase Fic,EG10307-MONOMER,fic
"predicted structural protein, ethanolamine utilization microcompartment",CPLX0-7801,
cadaverine:lysine antiporter,CADB-MONOMER,cadB
PF08943 family protein CsiD,CPLX0-8201,
endonuclease V,EG11915-MONOMER,nfi
ATP synthase F<sub>o</sub> complex - subunit b,ATPF-CPLX,
IS2 element transposase InsAB',MONOMER0-4258,insCD-5
DNA-binding transcriptional repressor NsrR,CPLX0-7756,
PEP synthetase regulatory protein,EG11132-MONOMER,ppsR
"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaB-TsaD dimer subunit",CPLX0-8181,
protein YciN,EG12868-MONOMER,yciN
peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase - MrcB-LpoB complex,CPLX0-8178,
PYROXALTRANSAM-MONOMER,PYROXALTRANSAM-MONOMER,
asparagine&mdash;tRNA ligase,ASNS-CPLX,
chemotaxis protein CheY,CHEY-MONOMER,cheY
HlyD_D23 family protein YbhG,G6412-MONOMER,ybhG
L-rhamnonate dehydratase,CPLX0-7722,
chemotaxis response regulator protein-glutamate methylesterase,CHEB-MONOMER,cheB
CP4-44 prophage; self recognizing antigen 43 (Ag43) autotransporter,G7080-MONOMER,flu
periplasmic protein CpxP,CPLX0-8155,
chemotaxis protein CheA(L),CHEA-CPLX,
GLYCRIBONUCSYN-MONOMER,GLYCRIBONUCSYN-MONOMER,purD
anaerobic glycerol-3-phosphate dehydrogenase,ANGLYC3PDEHYDROG-CPLX,
DNA-binding transcriptional repressor UidR,G6867-MONOMER,uidR
sensory histidine kinase EvgS,EVGS-MONOMER,evgS
multidrug/spermidine efflux pump,YDGEF-CPLX,
chemotaxis protein CheA,PROTEIN-CHEA,cheA
DUF554 domain-containing protein YqgA,G7534-MONOMER,yqgA
MukEF complex,CPLX0-7697,
chemotaxis protein CheA(S),CHEA-SMALL,cheA
DUF386 domain-containing evolved &beta;-D-galactosidase subunit &beta;,EG10253-MONOMER,ebgC
ribosomal protein-arginine oxygenase,CPLX0-8112,
&beta;-glucuronidase,BETA-GLUCURONID-MONOMER,uidA
adenine phosphoribosyltransferase,ADENPRIBOSYLTRAN-CPLX,
putative aromatic acid exporter family transporter YeeA,EG11891-MONOMER,yeeA
transketolase 1,TRANSKETOI-CPLX,
IS3 element protein InsE,MONOMER0-4242,insE-2
2Fe-2S cluster-containing protein YeaW,CPLX0-7675,
UPF0176 protein YceA,EG11116-MONOMER,yceA
diguanylate cyclase DgcM,CPLX0-8090,
DUF2496 domain-containing protein YbaM,EG12830-MONOMER,ybaM
ferric citrate ABC transporter,ABC-9-CPLX,
PSERPHOSPHA-MONOMER,PSERPHOSPHA-MONOMER,serB
thioredoxin reductase,THIOREDOXIN-REDUCT-NADPH-CPLX,
putative regulator,G6384-MONOMER,abrB
L-rhamnose mutarotase,CPLX0-7649,
DNA-binding transcriptional dual regulator HprR,G7057-MONOMER,hprR
"putative transport complex, ABC superfamily",ABC-52-CPLX,
glutamate 5-kinase,GLUTKIN-MONOMER,proB
Sec translocon accessory complex,SECD-SECF-YAJC-YIDC-CPLX,
YnfC lipoprotein,G6843-MONOMER,ynfC
small conductance mechanosensitive channel MscS,CPLX0-7626,
G7517-MONOMER,G7517-MONOMER,scpC
lysine / arginine / ornithine ABC transporter,ABC-3-CPLX,
Qin prophage; cell division inhibition protein DicB,EG10227-MONOMER,dicB
putative quinone oxidoreductase 1,QOR-CPLX,
putative multidrug efflux pump MdtD,B2077-MONOMER,mdtD
ChpB-ChpS complex,CPLX0-7561,
L-rhamnose mutarotase,EG11865-MONOMER,rhaM
histidine ABC transporter,ABC-14-CPLX,
IS1 protein InsA,MONOMER0-4226,insA-6
pyruvate kinase I,PKI-COMPLEX,
protein YaiA,EG11093-MONOMER,yaiA
flagellar export apparatus,CPLX0-7451,
hydroxycarboxylate dehydrogenase A,EG12692-MONOMER,hcxA
pyridoxal 5-phosphate synthase,PDXH-CPLX,
fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase,PRAI-IGPS,trpC
putative hydrolase,CPLX0-661,
pyrimidine-specific ribonucleoside hydrolase RihA,G6358-MONOMER,rihA
<i>para</i>-aminobenzoate synthase multi-enzyme complex,PABSYNMULTI-CPLX,
"intermembrane phospholipid transport system, integral membrane subunit MlaE",YRBE-MONOMER,mlaE
tRNA m<sup>1</sup>G37 methyltransferase,CPLX0-3950,
protein YecR,G7035-MONOMER,yecR
nitrate reductase Z,NITRATREDUCTZ-CPLX,
glucokinase,GLUCOKIN-MONOMER,glk
DNA polymerase V,CPLX0-3925,
Qin prophage; DUF2514 domain-containing protein RzpQ,G6826-MONOMER,rzpQ
methionine&mdash;tRNA ligase,METG-CPLX,
"putative oxidoreductase, Fe-S subunit",G7497-MONOMER,ygfK
ADP-sugar pyrophosphatase,CPLX0-3721,
ATP-dependent Clp protease proteolytic subunit,EG10158-MONOMER,clpP
"L-1,2-propanediol oxidoreductase",LACTALDREDUCT-CPLX,
multidrug efflux pump,B1065-MONOMER,mdtH
Type II secretion system,CPLX0-3382,
putative aldose-1-epimerase YihR,EG11844-MONOMER,yihR
histidinol-phosphate aminotransferase,HISTPHOSTRANS-CPLX,
site-specific recombinase,EG11071-MONOMER,xerD
ClpAP,CPLX0-3104,
Cys-tRNA<sup>Pro</sup> and Cys-tRNA<sup>Cys</sup> deacylase,EG12454-MONOMER,ybaK
glyoxylate carboligase,GLYOCARBOLIG-CPLX,
pyridine nucleotide transhydrogenase subunit &beta;,PNTB-MONOMER,pntB
transcriptional antiterminator BglG,CPLX0-2861,
putative LysR family DNA-binding transcriptional regulator YbdO,G6332-MONOMER,ybdO
glucose-1-phosphatase,GLUCOSE-1-PHOSPHAT-CPLX,
multidrug efflux pump / bile salt:H<sup>+</sup> antiporter / Na<sup>+</sup>:H<sup>+</sup> antiporter / K<sup>+</sup>:H<sup>+</sup> antiporter,YJIO-MONOMER,mdtM
hydrogenase 4,CPLX0-250,
putative inner membrane protein,G7013-MONOMER,yebZ
enoyl-[acyl-carrier-protein] reductase,CPLX0-8006,
L-glutamine ABC transporter membrane subunit,GLNP-MONOMER,glnP
fructose-bisphosphate aldolase class II,FRUCBISALD-CLASSII,
conserved protein YneG,G6809-MONOMER,yneG
serine acetyltransferase,CPLX0-237,
IS2 element protein,G7480-MONOMER,insD-1
moderate conductance mechanosensitive channel,CPLX0-7983,
6-phospho-&beta;-glucosidase B,EG10114-MONOMER,bglB
&beta;-ketoacyl-[acyl carrier protein] synthase I,FABB-CPLX,
ATP synthase F<sub>o</sub> complex subunit b,ATPF-MONOMER,atpF
dihydroxyacetone kinase,CPLX0-2081,
protein YceI,EG11820-MONOMER,yceI
adenylosuccinate lyase,CPLX0-7959,
uncharacterized protein YoaJ,MONOMER0-2875,yoaJ
"2-oxoglutarate decarboxylase, thiamine-requiring",E1O,
tRNA m<sup>1</sup>G37 methyltransferase,EG11023-MONOMER,trmD
adenine deaminase,CPLX0-1683,
EG12424-MONOMER,EG12424-MONOMER,prmC
"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",CPLX0-7936,
phosphate acetyltransferase,PHOSACETYLTRANS-MONOMER,pta
diacylglycerol kinase,DIACYLGLYKIN-CPLX,
DLP12 prophage; protein YbcW,G6314-MONOMER,ybcW
transketolase 2,CPLX0-1261,
putative monovalent cation:proton antiporter-1 family transporter YjcE,YJCE-MONOMER,yjcE
"DNA polymerase III, &psi;-&chi; subunit",CPLX0-7910,
phosphoribosylglycinamide formyltransferase 1,GART-MONOMER,purN
cysteine synthase complex,CYSSYNMULTI-CPLX,
putative sulfatase,G6788-MONOMER,ydeN
allantoate amidohydrolase,CPLX-7524,
5-dehydro-4-deoxy-D-glucuronate isomerase,G7463-MONOMER,kduI
GadE-RcsB DNA-binding transcriptional activator,CPLX0-7852,
P-loop guanosine triphosphatase,EG10021-MONOMER,yjiA
regulator of CsrB and CsrC decay,CPLX0-8245,
aspartate ammonia-lyase,ASPARTASE-MONOMER,aspA
putative PTS enzyme II FrwCBDPtsA,CPLX-160,
23S rRNA 2'-<i>O</i>-ribose C2498 methyltransferase,EG11794-MONOMER,rlmM
MqsA-MqsR antitoxin/toxin complex,CPLX0-7822,
two-component system connector SafA,MONOMER0-2841,safA
diguanylate cyclase DosC,CPLX0-8218,
peptidyl-prolyl <i>cis-trans</i> isomerase SurA,EG10985-MONOMER,surA
cyclopropane fatty acyl phospholipid synthase,CFA-CPLX,
conserved protein YdiE,EG12391-MONOMER,ydiE
KdpE-Phosphorylated DNA-binding transcriptional activator,CPLX0-7795,
putative fimbrial adhesin protein SfmH,G6293-MONOMER,sfmH
lipoprotein NlpI,CPLX0-8198,
putative major facilitator superfamily transporter YhjE,YHJE-MONOMER,yhjE
K<sup>+</sup> transporting P-type ATPase,ATPASE-1-CPLX,
putative pyruvate formate lyase activating enzyme,G7953-MONOMER,yjjW
CpxR-P<sup>asp</sup> DNA-binding transcriptional dual regulator,CPLX0-7748,
putative glutathione <i>S</i>-transferase YncG,G6765-MONOMER,yncG
sulfurtransferase for molybdenum cofactor sulfuration,CPLX0-8175,
glucarate dehydratase-related protein,G7446-MONOMER,gudX
"3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive",AROF-CPLX,
DTMPKI-MONOMER,DTMPKI-MONOMER,tmk
quinolinate synthase,CPLX0-7719,
shikimate kinase 2,AROL-MONOMER,aroL
DLP12 prophage; DNA base-flipping protein,CPLX0-8129,
EG11768-MONOMER,EG11768-MONOMER,selU
&alpha;-galactosidase,ALPHAGALACTOSID-CPLX,
uncharacterized protein YmgI,MONOMER0-2818,ymgI
excision nuclease UvrABC,UVRABC-CPLX,
"anti-adaptor protein IraD, inhibitor of &sigma;<sup>S</sup> proteolysis",G7923-MONOMER,iraD
glutaminase 1,CPLX0-7694,
"selenide, water dikinase",EG10943-MONOMER,selD
DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL,CPLX0-8109,
putative phosphoribulokinase,EG12365-MONOMER,prkB
cysteine synthase B,ACSERLYB-CPLX,
DNA-binding transcriptional activator AllS,G6274-MONOMER,allS
multidrug efflux pump MdtEF-TolC,TRANS-CPLX-204,
lipopolysaccharide transport system ATP binding protein,YHBG-MONOMER,lptB
DNA-binding transcriptional dual regulator ArgP,CPLX0-7669,
"recombination-promoting nuclease RpnD, C-terminal fragment",G7935-MONOMER,yjiQ
SecB chaperone,CPLX0-8046,
putative lipoprotein YdcL,G6742-MONOMER,ydcL
thiosulfate/sulfate ABC transporter,ABC-7-CPLX,
pre-CRISPR RNA endonuclease,G7426-MONOMER,casE
superoxide dismutase (Mn),SUPEROX-DISMUTMN-CPLX,
dimethyl sulfoxide reductase subunit A,DMSA-MONOMER,dmsA
D-ribose pyranase,CPLX0-7646,
"arginine decarboxylase, biosynthetic",ARGDECARBOXBIO-MONOMER,speA
glutathione ABC transporter,ABC-49-CPLX,
DNA-binding transcriptional repressor EnvR,EG11741-MONOMER,envR
phosphoribosylaminoimidazole-succinocarboxamide synthase,SAICARSYN-CPLX,
InsAB' transposase,MONOMER0-2757,insAB-2
"regulator of acid resistance, influenced by indole",CPLX0-7623,
KpLE2 phage-like element; putative uncharacterized protein YjhV,G7907-MONOMER,yjhV
phosphate ABC transporter,ABC-27-CPLX,
30S ribosomal subunit protein S14,EG10913-MONOMER,rpsN
pyrroline-5-carboxylate reductase,PYRROLINECARBREDUCT-CPLX,
phosphodiesterase YaeI,EG12337-MONOMER,yaeI
arginine:agmatine antiporter,CPLX0-7535,
DNA base-flipping protein,G6251-MONOMER,atl
iron(III) hydroxamate ABC transporter,ABC-11-CPLX,
YEIM-MONOMER,YEIM-MONOMER,psuT
1-deoxy-D-xylulose-5-phosphate synthase,CPLX0-743,
Signal Recognition Particle,SRP-CPLX,
&beta;-ketoadipyl-CoA thiolase,G6718-MONOMER,paaJ
octanoyl-ACP,OCTANOYL-ACP,
RcsAB DNA-binding transcriptional dual regulator,PC00084,
DedA family protein YqaA,G7407-MONOMER,yqaA
Enterobacterial Common Antigen Biosynthesis Protein Complex,CPLX0-3976,
ribosome,CPLX0-3964,
diaminopimelate epimerase,DIAMINOPIMEPIM-MONOMER,dapF
orotate phosphoribosyltransferase,OROPRIBTRANS-CPLX,
asparaginase II,ANSB-MONOMER,ansB
&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase,CPLX0-3943,
RNase P,CPLX0-1382,
chromate reductase,EG11723-MONOMER,yieF
sensory histidine kinase NarQ,NARQ-CPLX,
alternative ribosome-rescue factor A,MONOMER0-2687,arfA
primosome,CPLX0-3922,
CsrA complex with McaS RNA,CPLX0-8028,
protein YjgL,G7884-MONOMER,yjgL
maltose <i>O</i>-acetyltransferase,MALTACETYLTRAN-CPLX,
50S ribosomal subunit protein L34,EG10892-MONOMER,rpmH
&gamma;-aminobutyraldehyde dehydrogenase,CPLX0-3641,
30S ribosomal subunit,CPLX0-3953,
DNA gyrase inhibitor YacG,EG12314-MONOMER,yacG
sensory histidine kinase KdpD,KDPD-CPLX,
adhesin-like autotransporter YaiU,G6225-MONOMER,yaiU
DNA replication inhibitor,CPLX0-3301,
SelB-L-selenocysteinyl-tRNA<SUP>sec</SUP>,CPLX0-8053,
YDEA-MONOMER,YDEA-MONOMER,ydeA
putative 3-phenylpropionate/cinnamate dioxygenase,HCAMULTI-CPLX,
putative pyruvate-flavodoxin oxidoreductase,G6701-MONOMER,ydbK
proline aminopeptidase P II,CPLX0-3081,
50S ribosomal subunit,CPLX0-3962,
CP4-57 prophage; putative antitoxin of the YpjF-YfjZ toxin-antitoxin system,G7380-MONOMER,yfjZ
glycerol kinase,GLYCEROL-KIN-CPLX,
anaerobic C4-dicarboxylate transporter DcuB,DCUB-MONOMER,dcuB
McrBC restriction endonuclease,CPLX0-2661,
CsrA complex with CsrB RNA,CPLX0-1041,
alkaline phosphatase,ALKAPHOSPHA-MONOMER,phoA
glucose-1-phosphate adenylyltransferase,GLUC1PADENYLTRANS-CPLX,
protein YidF,EG11694-MONOMER,yidF
alkyl hydroperoxide reductase,CPLX0-245,
Rac prophage; DUF1391 domain-containing protein YdaF,MONOMER0-2670,ydaF
hydrogenase 1,FORMHYDROGI-CPLX,
iron-sulfur cluster repair protein YtfE,G7866-MONOMER,ytfE
glyoxylate reductase,CPLX0-235,
50S ribosomal subunit protein L14,EG10875-MONOMER,rplN
monoacetylchitobiose-6-phosphate hydrolase,CPLX0-7979,
L-ribulose-5-phosphate 4-epimerase SgbE,EG12287-MONOMER,sgbE
ATP synthase F<sub>o</sub> complex,F-O-CPLX,
PGK,PGK,pgk
fructose-6-phosphate aldolase 1,CPLX0-201,
DUF1471 domain-containing protein YahO,G6194-MONOMER,yahO
carbon storage regulator,CPLX0-7956,
putative K<sup>+</sup>:H<sup>+</sup> antiporter,YCGO-MONOMER,cvrA
dTDP-L-rhamnose synthetase complex,DTDPRHAMSYNTHMULTI-CPLX,
Rac prophage; protein YdaT,G6682-MONOMER,ydaT
RNase G,CPLX0-1621,
CP4-57 prophage; putative helicase YfjK,G7362-MONOMER,abpB
predicted carbamoyltransferase,CPLX0-7933,
aerobic glycerol 3-phosphate dehydrogenase,AERGLYC3PDEHYDROG-MONOMER,glpD
dGTP triphosphohydrolase,DGTPTRIPHYDRO-CPLX,
protein SlyX,EG11664-MONOMER,slyX
ADP-sugar diphosphatase NudE,CPLX0-1221,
DNA-binding transcriptional dual regulator FlhC,MONOMER0-2488,flhC
L-carnitine:&gamma;-butyrobetaine antiporter,CPLX0-7906,
conserved protein YjfK,G7848-MONOMER,yjfK
reduced glutaredoxin 2,GRXB-MONOMER,grxB
sensory histidine kinase CreC,CREC-CPLX,
RNase D,EG10858-MONOMER,rnd
allantoinase,CPLX-64,
putative cellulose biosynthesis protein BcsF,EG12264-MONOMER,bcsF
4-hydroxythreonine-4-phosphate dehydrogenase,CPLX0-7847,
DNA-binding transcriptional repressor CytR,PD04028,cytR
reduced glutaredoxin 1,RED-GLUTAREDOXIN,grxA
Grx4-IbaG complex,CPLX0-8239,
"curlin, major subunit",EG11489-MONOMER,csgA
glutaredoxin 3,GRXC-MONOMER,grxC
glucose-specific PTS enzyme II,CPLX-157,
putative lactate utilization oxidoreductase YkgE,G6176-MONOMER,ykgE
K<sup>+</sup> : H<sup>+</sup> antiporter KefC,CPLX0-7819,
putative ABC transporter ATP-binding protein YbbA,YBBA-MONOMER,ybbA
periplasmic protein-L-methionine sulfoxide reducing system,CPLX0-8213,
putative hydrolase YcjY,G6663-MONOMER,ycjY
carbonic anhydrase 1,CARBODEHYDRAT-CPLX,
"putative DNA-binding transcriptional regulator, NAGC-like",G7344-MONOMER,yphH
macrodomain Ter protein,CPLX0-7789,
multidrug efflux pump RND permease AcrF,ACRF-MONOMER,acrF
chaperone protein DnaJ,CPLX0-8191,
cysteine/<i>O</i>-acetylserine exporter EamA,EG11639-MONOMER,eamA
&beta; complex,ATOA-CPLX,
small toxic polypeptide LdrC,MONOMER0-1603,ldrC
3-keto-L-gulonate-6-phosphate decarboxylase UlaD,CPLX0-7744,
antitoxin of the GhoTS toxin-antitoxin system,G7830-MONOMER,ghoS
bifunctional sensory histidine kinase PhoQ,CPLX0-8168,
transcription antiterminator RfaH,EG10839-MONOMER,rfaH
"arginine decarboxylase, degradative",ARGDECARBOXDEG-CPLX,
DNA-binding transcriptional dual regulator GadX,EG12243-MONOMER,gadX
DNA-binding transcriptional dual regulator DsdC,CPLX0-7713,
DNA-binding transcriptional dual regulator FadR,PD01520,fadR
cellulose synthase,CPLX0-8125,
DNA-binding transcriptional dual regulator HdfR,EG11449-MONOMER,hdfR
"aldehyde dehydrogenase A, NAD-linked",ALD-CPLX,
"aldehyde dehydrogenase, Fe-S subunit",G6157-MONOMER,paoA
undecaprenyl diphosphate synthase,UPPSYN-CPLX,
xanthosine phosphorylase,XANTHOSINEPHOSPHORY-MONOMER,xapA
isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor,CPLX0-7691,
conserved protein YcjD,G6641-MONOMER,ycjD
nucleoside triphosphate pyrophosphatase YhdE,CPLX0-8106,
50S ribosomal subunit stability factor,G7319-MONOMER,der
<i>N</i>-acetylneuraminate lyase,ACNEULY-CPLX,
molybdopterin synthase sulfur carrier subunit,EG11597-MONOMER,moaD
multidrug efflux pump AcrAB-TolC,TRANS-CPLX-201,
methylglyoxal reductase DkgA,MONOMER0-148,dkgA
DNA-binding transcriptional activator CaiF,CPLX0-7666,
IS150 conserved protein InsB,G7777-MONOMER,insK
DNA-binding transcriptional repressor LsrR,CPLX0-8043,
D-ribose pyranase,EG10817-MONOMER,rbsD
lipoprotein release complex,ABC-62-CPLX,
putative queuosine precursor transporter,EG12217-MONOMER,yhhQ
sulfate adenylyltransferase,SULFATE-ADENYLYLTRANS-CPLX,
acyl carrier protein,EG50003-MONOMER,acpP
DNA-binding transcriptional dual regulator TyrR,PD00413,tyrR
osmolyte:H<sup>+</sup> symporter ProP,CPLX0-7642,
lipopolysaccharide heptosyltransferase,EG11423-MONOMER,waaU
intermembrane phospholipid transport system,ABC-45-CPLX,
IS1 protein InsB,G6138-MONOMER,insB-2
L-ribulose-5-phosphate 4-epimerase AraD,RIBULPEPIM-CPLX,
inner membrane protein sensing glucose-6-phosphate,UHPC-MONOMER,uhpC
oxidized flavodoxin 2,OX-FLAVODOXIN2,fldB
tartronate semialdehyde reductase 2,CPLX0-7616,
PF04226 family protein YmgE,G6624-MONOMER,ymgE
periplasmic nitrate reductase cytochrome c protein,NAPC-MONOMER,napC
spermidine preferential ABC transporter,ABC-24-CPLX,
"putative structural protein, ethanolamine utilization microcompartment",G7292-MONOMER,eutS
5-(carboxyamino)imidazole ribonucleotide synthase,PURK-CPLX,
3-methyl-2-oxobutanoate hydroxymethyltransferase,3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER,panB
ammonia / ammonium transporter,CPLX0-7532,
putative electron transfer flavoprotein FixA,EG11562-MONOMER,fixA
7-&alpha;-hydroxysteroid dehydrogenase,7-ALPHA-HYDROXYSTEROID-DEH-CPLX,
FMNH<sub>2</sub>-dependent alkanesulfonate monooxygenase,MONOMER-162,ssuD
"phosphatidylserine decarboxylase, heterodimer",PHOSPHASERDECARB-CPLX,
DNA utilization protein YhgH,G7747-MONOMER,yhgH
23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase,CPLX0-7423,
peptidyl-prolyl <i>cis-trans</i> isomerase B,EG10758-MONOMER,ppiB
DNA-binding transcriptional repressor PurR,PC00033,
"SeqA, negative modulator of initiation of replication",EG12197-MONOMER,seqA
ferritin iron-storage complex,CPLX0-3969,
DNA-binding transcriptional repressor SrlR,PD00283,srlR
ornithine carbamoyltransferase,ORNCARBAMTRANSFERI-CPLX,
universal stress global stress response regulator,EG11390-MONOMER,uspA
copper binding protein CutA,CPLX0-3938,
conserved protein YkfJ,G6119-MONOMER,ykfJ
fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase,NAG1P-URIDYLTRANS-CPLX,
UDP-NACMURALGLDAPAALIG-MONOMER,UDP-NACMURALGLDAPAALIG-MONOMER,murF
GDP-fucose synthase,CPLX0-3881,
"regulator of acid resistance, influenced by indole",G6606-MONOMER,ariR
maltodextrin phosphorylase,MALDEXPHOSPHORYL-CPLX,
CPZ-55 prophage; uncharacterized protein YffO,G7276-MONOMER,yffO
ribonuclease BN,CPLX0-3601,
conserved protein YdcC,EG11526-MONOMER,ydcC
isocitrate lyase,ISOCIT-LYASE,
L-methionine/D-methionine ABC transporter membrane anchored binding protein,METQ-MONOMER,metQ
DnaA initiator-associating factor for replication initiation,CPLX0-3221,
putative hydrolase,G7731-MONOMER,php
GTP cyclohydrolase 2,GTP-CYCLOHYDRO-II-CPLX,
carbon-phosphorus lyase core complex subunit PhnI,EG10718-MONOMER,phnI
"fructose-1,6-bisphosphatase 2",CPLX0-303,
heme trafficking system membrane protein CcmD,EG12169-MONOMER,ccmD
glutamate-5-semialdehyde dehydrogenase,GLUTSEMIALDEHYDROG-CPLX,
DNA-binding transcriptional dual regulator MelR,PD00208,melR
protein HokC,CPLX0-2621,
conserved protein Bax,EG11360-MONOMER,bax
glycine decarboxylase,GCVP-CPLX,
putative inner membrane protein,G6102-MONOMER,yafU
inorganic pyrophosphatase,CPLX0-243,
tryptophan&mdash;tRNA ligase,TRPS-MONOMER,trpS
poly-<i>N</i>-acetyl-D-glucosamine synthase,CPLX0-7994,
e14 prophage; putative DNA-binding transcriptional regulator,G6590-MONOMER,ymfT
"formate dehydrogenase N, subcomplex",FORMATEDEHYDROGN-CPLX,
cell division protein ZipA,G7258-MONOMER,zipA
isocitrate dehydrogenase kinase/phosphatase,CPLX0-230,
23S rRNA 2'-<i>O</i>-ribose U2552 methyltransferase,EG11507-MONOMER,rlmE
translocation and assembly module,CPLX0-7976,
mannose-specific PTS enzyme IIAB component,MANX-MONOMER,manX
D-erythrose-4-phosphate dehydrogenase,ERYTH4PDEHYDROG-CPLX,
sulfurtransferase complex subunit TusC,G7713-MONOMER,tusC
ferrichrome outer membrane transport complex,CPLX0-1942,
osmotically inducible peroxiredoxin,EG10680-MONOMER,osmC
2-hydroxypentadienoate hydratase,CPLX0-7951,
threonine/homoserine exporter,EG12134-MONOMER,rhtA
