bact:EUTD_ECOLI	Ethanolamine utilization protein EutD	uniprot:P77218	eutD eutI ypfA b2458 JW2442
bact:EXBB_ECOLI	Biopolymer transport protein ExbB	uniprot:P0ABU7	exbB b3006 JW2974
bact:EXBD_ECOLI	Biopolymer transport protein ExbD	uniprot:P0ABV2	exbD b3005 JW2973
bact:EXUT_ECOLI	Hexuronate transporter	uniprot:P0AA78	exuT b3093 JW3064
bact:F16PA_ECOLI	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	uniprot:P0A993	fbp fdp b4232 JW4191
bact:FABA_ECOLI	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	uniprot:P0A6Q3	fabA b0954 JW0937
bact:FABB_ECOLI	3-oxoacyl-[acyl-carrier-protein] synthase 1 (EC 2.3.1.41) (3-oxoacyl-[acyl-carrier-protein] synthase I) (Beta-ketoacyl-ACP synthase I) (KAS I)	uniprot:P0A953	fabB fabC b2323 JW2320
bact:FABD_ECOLI	Malonyl CoA-acyl carrier protein transacylase (MCT) (EC 2.3.1.39)	uniprot:P0AAI9	fabD tfpA b1092 JW1078
bact:FABF_ECOLI	3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179) (3-oxoacyl-[acyl-carrier-protein] synthase II) (Beta-ketoacyl-ACP synthase II) (KAS II)	uniprot:P0AAI5	fabF fabJ b1095 JW1081
bact:FABG_ECOLI	3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)	uniprot:P0AEK2	fabG b1093 JW1079
bact:FABH_ECOLI	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III) (EcFabH)	uniprot:P0A6R0	fabH b1091 JW1077
bact:FABI_ECOLI	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (NADH-dependent enoyl-ACP reductase)	uniprot:P0AEK4	fabI envM b1288 JW1281
bact:FABZ_ECOLI	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (17 kDa actomyosin component) (Beta-hydroxyacyl-ACP dehydratase)	uniprot:P0A6Q6	fabZ sefA yaeA b0180 JW0175
bact:FADA_ECOLI	3-ketoacyl-CoA thiolase FadA (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	uniprot:P21151	fadA oldA b3845 JW5578
bact:FADB_ECOLI	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	uniprot:P21177	fadB oldB b3846 JW3822
bact:FADE_ECOLI	Acyl-coenzyme A dehydrogenase (ACDH) (EC 1.3.99.-)	uniprot:Q47146	fadE yafH b0221 JW5020
bact:FADI_ECOLI	3-ketoacyl-CoA thiolase FadI (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	uniprot:P76503	fadI yfcY b2342 JW2339
bact:FADJ_ECOLI	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	uniprot:P77399	fadJ yfcX b2341 JW2338
bact:FADK_ECOLI	Short-chain-fatty-acid--CoA ligase (EC 6.2.1.-) (Acyl-CoA synthetase)	uniprot:P38135	fadK ydiD b1701 JW5910
bact:FADL_ECOLI	Long-chain fatty acid transport protein (Outer membrane FadL protein) (Outer membrane flp protein)	uniprot:P10384	fadL ttr b2344 JW2341
bact:FCL_ECOLI	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase)	uniprot:P32055	fcl wcaG yefB b2052 JW2037
bact:FCTA_ECOLI	Formyl-CoA:oxalate CoA-transferase (FCOCT) (EC 2.8.3.16) (Formyl-coenzyme A transferase) (Formyl-CoA transferase)	uniprot:P69902	frc yfdW b2374 JW2371
bact:FDHF_ECOLI	Formate dehydrogenase H (EC 1.1.99.33) (EC 1.2.1.2) (Formate dehydrogenase-H subunit alpha) (FDH-H) (Formate-hydrogen-lyase-linked, selenocysteine-containing polypeptide)	uniprot:P07658	fdhF b4079 JW4040
bact:FDNG_ECOLI	Formate dehydrogenase, nitrate-inducible, major subunit (EC 1.1.5.6) (Anaerobic formate dehydrogenase major subunit) (Formate dehydrogenase-N subunit alpha) (FDH-N subunit alpha)	uniprot:P24183	fdnG b1474 JW1470
bact:FDNH_ECOLI	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit (Anaerobic formate dehydrogenase iron-sulfur subunit) (Formate dehydrogenase-N subunit beta) (FDH-N subunit beta)	uniprot:P0AAJ3	fdnH b1475 JW1471
bact:FDNI_ECOLI	Formate dehydrogenase, nitrate-inducible, cytochrome b556(Fdn) subunit (Anaerobic formate dehydrogenase cytochrome b556 subunit) (Formate dehydrogenase-N subunit gamma) (FDH-N subunit gamma)	uniprot:P0AEK7	fdnI b1476 JW1472
bact:FDOG_ECOLI	Formate dehydrogenase-O major subunit (EC 1.2.1.2) (Aerobic formate dehydrogenase major subunit) (FDH-Z subunit alpha) (Formate dehydrogenase-O subunit alpha)	uniprot:P32176	fdoG b3894 JW3865
bact:FDOH_ECOLI	Formate dehydrogenase-O iron-sulfur subunit (Aerobic formate dehydrogenase iron-sulfur subunit) (FDH-Z subunit beta) (Formate dehydrogenase-O subunit beta)	uniprot:P0AAJ5	fdoH b3893 JW3864
bact:FDOI_ECOLI	Formate dehydrogenase, cytochrome b556(fdo) subunit (Aerobic formate dehydrogenase cytochrome b556 subunit) (FDH-Z subunit gamma) (Formate dehydrogenase-O subunit gamma)	uniprot:P0AEL0	fdoI b3892 JW3863
bact:FEAB_ECOLI	Phenylacetaldehyde dehydrogenase (PAD) (EC 1.2.1.39)	uniprot:P80668	feaB maoB padA ydbG b1385 JW1380
bact:FECA_ECOLI	Fe(3+) dicitrate transport protein FecA (Iron(III) dicitrate transport protein FecA)	uniprot:P13036	fecA b4291 JW4251
bact:FECB_ECOLI	Fe(3+) dicitrate-binding periplasmic protein (Iron(III) dicitrate-binding periplasmic protein)	uniprot:P15028	fecB b4290 JW4250
bact:FECC_ECOLI	Fe(3+) dicitrate transport system permease protein FecC (Iron(III) dicitrate transport system permease protein FecC)	uniprot:P15030	fecC b4289 JW4249
bact:FECD_ECOLI	Fe(3+) dicitrate transport system permease protein FecD (Iron(III) dicitrate transport system permease protein FecD)	uniprot:P15029	fecD b4288 JW4248
bact:FECE_ECOLI	Fe(3+) dicitrate transport ATP-binding protein FecE (Iron(III) dicitrate transport ATP-binding protein FecE)	uniprot:P15031	fecE b4287 JW4247
bact:FENR_ECOLI	Ferredoxin--NADP reductase (FNR) (EC 1.18.1.2) (DA1) (Flavodoxin reductase) (FLDR) (FLXR) (Methyl viologen resistance protein A)	uniprot:P28861	fpr mvrA b3924 JW3895
bact:FEOB_ECOLI	Fe(2+) transporter FeoB (Ferrous iron transport protein B)	uniprot:P33650	feoB b3409 JW3372
bact:FEPA_ECOLI	Ferrienterobactin receptor (Enterobactin outer-membrane receptor)	uniprot:P05825	fepA fep feuB b0584 JW5086
bact:FEPB_ECOLI	Ferrienterobactin-binding periplasmic protein	uniprot:P0AEL6	fepB b0592 JW0584
bact:FEPC_ECOLI	Ferric enterobactin transport ATP-binding protein FepC	uniprot:P23878	fepC b0588 JW0580
bact:FEPD_ECOLI	Ferric enterobactin transport system permease protein FepD	uniprot:P23876	fepD b0590 JW0582
bact:FEPG_ECOLI	Ferric enterobactin transport system permease protein FepG	uniprot:P23877	fepG b0589 JW0581
bact:FES_ECOLI	Enterochelin esterase (Ferric enterobactin esterase)	uniprot:P13039	fes b0585 JW0576
bact:FHUA_ECOLI	Ferrichrome-iron receptor (Ferric hydroxamate receptor) (Ferric hydroxamate uptake)	uniprot:P06971	fhuA tonA b0150 JW0146
bact:FHUB_ECOLI	Iron(3+)-hydroxamate import system permease protein FhuB (Ferric hydroxamate uptake protein B) (Ferrichrome transport system permease protein FhuB) (Ferrichrome uptake protein FhuB) (Iron(III)-hydroxamate import system permease protein FhuB)	uniprot:P06972	fhuB b0153 JW0149
bact:FHUC_ECOLI	Iron(3+)-hydroxamate import ATP-binding protein FhuC (EC 3.6.3.34) (Ferric hydroxamate uptake protein C) (Ferrichrome transport ATP-binding protein FhuC) (Iron(III)-hydroxamate import ATP-binding protein FhuC)	uniprot:P07821	fhuC b0151 JW0147
bact:FHUD_ECOLI	Iron(3+)-hydroxamate-binding protein FhuD (Ferric hydroxamate uptake protein D) (Ferrichrome-binding periplasmic protein) (Iron(III)-hydroxamate-binding protein FhuD)	uniprot:P07822	fhuD b0152 JW0148
bact:FHUE_ECOLI	FhuE receptor (Outer-membrane receptor for Fe(III)-coprogen, Fe(III)-ferrioxamine B and Fe(III)-rhodotrulic acid)	uniprot:P16869	fhuE b1102 JW1088
bact:FHUF_ECOLI	Ferric iron reductase protein FhuF	uniprot:P39405	fhuF yjjS b4367 JW4331
bact:FIEF_ECOLI	Ferrous-iron efflux pump FieF	uniprot:P69380	fieF yiiP b3915 JW3886
bact:FIU_ECOLI	Catecholate siderophore receptor Fiu (Ferric iron uptake protein) (TonB-dependent receptor Fiu)	uniprot:P75780	fiu ybiL b0805 JW0790
bact:FLAV_ECOLI	Flavodoxin 1	uniprot:P61949	fldA b0684 JW0671
bact:FLAW_ECOLI	Flavodoxin 2	uniprot:P0ABY4	fldB b2895 JW2863
bact:FMT_ECOLI	Methionyl-tRNA formyltransferase (EC 2.1.2.9)	uniprot:P23882	fmt yhdD b3288 JW3249
bact:FOCA_ECOLI	Probable formate transporter 1 (Formate channel 1)	uniprot:P0AC23	focA ycaE b0904 JW0887
bact:FOCB_ECOLI	Probable formate transporter 2 (Formate channel 2)	uniprot:P77733	focB b2492 JW2477
bact:FOLB_ECOLI	Dihydroneopterin aldolase (DHNA) (EC 4.1.2.25) (7,8-dihydroneopterin 2'-epimerase) (7,8-dihydroneopterin aldolase) (7,8-dihydroneopterin epimerase) (EC 5.1.99.8) (Dihydroneopterin epimerase)	uniprot:P0AC16	folB ygiG b3058 JW3030
bact:FOLC_ECOLI	Dihydrofolate synthase/folylpolyglutamate synthase (DHFS / FPGS) (EC 6.3.2.12) (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase-dihydrofolate synthetase) (Folylpolyglutamate synthetase) (Tetrahydrofolylpolyglutamate synthase)	uniprot:P08192	folC dedC b2315 JW2312
bact:FOLD_ECOLI	Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	uniprot:P24186	folD ads b0529 JW0518
bact:FOLM_ECOLI	Dihydromonapterin reductase (H(2)-MPt reductase) (EC 1.5.1.-) (Dihydrofolate reductase) (DHFR) (EC 1.5.1.3)	uniprot:P0AFS3	folM ydgB b1606 JW1598
bact:FOLX_ECOLI	Dihydroneopterin triphosphate 2'-epimerase (EC 5.1.99.-) (D-erythro-7,8-dihydroneopterin triphosphate epimerase)	uniprot:P0AC19	folX b2303 JW2300
bact:FRDA_ECOLI	Fumarate reductase flavoprotein subunit (EC 1.3.5.4)	uniprot:P00363	frdA b4154 JW4115
bact:FRDB_ECOLI	Fumarate reductase iron-sulfur subunit (EC 1.3.5.1)	uniprot:P0AC47	frdB b4153 JW4114
bact:FRDC_ECOLI	Fumarate reductase subunit C (Fumarate reductase 15 kDa hydrophobic protein)	uniprot:P0A8Q0	frdC b4152 JW4113
bact:FRDD_ECOLI	Fumarate reductase subunit D (Fumarate reductase 13 kDa hydrophobic protein)	uniprot:P0A8Q3	frdD b4151 JW4112
bact:FRE_ECOLI	NAD(P)H-flavin reductase (EC 1.16.1.3) (EC 1.5.1.41) (Aquacobalamin reductase) (FMN reductase) (Ferrisiderophore reductase C) (NAD(P)H:flavin oxidoreductase) (Riboflavin reductase [NAD(P)H])	uniprot:P0AEN1	fre fadI flrD fsrC ubiB b3844 JW3820
bact:FRLA_ECOLI	Putative fructoselysine transporter FrlA	uniprot:P45539	frlA yhfM b3370 JW3333
bact:FRLB_ECOLI	Fructoselysine 6-phosphate deglycase (EC 3.5.-.-)	uniprot:P0AC00	frlB yhfN b3371 JW5700
bact:FRLC_ECOLI	Protein FrlC	uniprot:P45541	frlC yhfO yhfP b4474 JW5699
bact:FRLD_ECOLI	Fructoselysine 6-kinase (EC 2.7.1.-)	uniprot:P45543	frlD yhfQ b3374 JW3337
bact:FRMA_ECOLI	S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284) (Alcohol dehydrogenase class-3) (EC 1.1.1.1) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-)	uniprot:P25437	frmA adhC b0356 JW0347
bact:FSAA_ECOLI	Fructose-6-phosphate aldolase 1 (EC 4.1.2.-) (Fructose-6-phosphate aldolase A) (FSAA)	uniprot:P78055	fsaA fsa mipB ybiZ b0825 JW5109
bact:FSAB_ECOLI	Fructose-6-phosphate aldolase 2 (EC 4.1.2.-) (Fructose-6-phosphate aldolase B) (FSAB)	uniprot:P32669	fsaB talC yijG b3946 JW3918
bact:FTSI_ECOLI	Peptidoglycan D,D-transpeptidase FtsI (EC 3.4.16.4) (Essential cell division protein FtsI) (Murein transpeptidase) (Penicillin-binding protein 3) (PBP-3) (Peptidoglycan synthase FtsI)	uniprot:P0AD68	ftsI pbpB b0084 JW0082
bact:FUCA_ECOLI	L-fuculose phosphate aldolase (EC 4.1.2.17) (L-fuculose-1-phosphate aldolase)	uniprot:P0AB87	fucA fucC prd b2800 JW2771
bact:FUCI_ECOLI	L-fucose isomerase (FucIase) (EC 5.3.1.25) (6-deoxy-L-galactose isomerase) (D-arabinose isomerase) (EC 5.3.1.3)	uniprot:P69922	fucI b2802 JW2773
bact:FUCK_ECOLI	L-fuculokinase (EC 2.7.1.51) (L-fuculose kinase)	uniprot:P11553	fucK b2803 JW2774
bact:FUCO_ECOLI	Lactaldehyde reductase (EC 1.1.1.77) (Propanediol oxidoreductase)	uniprot:P0A9S1	fucO b2799 JW2770
bact:FUCP_ECOLI	L-fucose-proton symporter (6-deoxy-L-galactose permease) (L-fucose permease)	uniprot:P11551	fucP b2801 JW2772
bact:FUMA_ECOLI	Fumarate hydratase class I, aerobic (EC 4.2.1.2) (Fumarase A) (Oxaloacetate keto--enol-isomerase) (OAAKE isomerase) (Oxaloacetate tautomerase) (EC 5.3.2.2)	uniprot:P0AC33	fumA b1612 JW1604
bact:FUMB_ECOLI	Fumarate hydratase class I, anaerobic (EC 4.2.1.2) (D-tartrate dehydratase) (EC 4.2.1.81) (Fumarase B)	uniprot:P14407	fumB b4122 JW4083
bact:FUMC_ECOLI	Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Aerobic fumarase) (Iron-independent fumarase)	uniprot:P05042	fumC b1611 JW1603
bact:G3P1_ECOLI	Glyceraldehyde-3-phosphate dehydrogenase A (GAPDH-A) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)	uniprot:P0A9B2	gapA b1779 JW1768
bact:G6PD_ECOLI	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49) [Cleaved into: Extracellular death factor (EDF)]	uniprot:P0AC53	zwf b1852 JW1841
bact:G6PI_ECOLI	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	uniprot:P0A6T1	pgi b4025 JW3985
bact:GABD_ECOLI	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD (SSDH) (EC 1.2.1.79)	uniprot:P25526	gabD b2661 JW2636
bact:GABP_ECOLI	GABA permease (4-amino butyrate transport carrier) (Gamma-aminobutyrate permease)	uniprot:P25527	gabP b2663 JW2638
bact:GABT_ECOLI	4-aminobutyrate aminotransferase GabT (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (Glutamate:succinic semialdehyde transaminase) (L-AIBAT)	uniprot:P22256	gabT b2662 JW2637
bact:GADC_ECOLI	Probable glutamate/gamma-aminobutyrate antiporter (Extreme acid sensitivity protein)	uniprot:P63235	gadC acsA xasA b1492 JW1487
bact:GAL1_ECOLI	Galactokinase (EC 2.7.1.6) (Galactose kinase)	uniprot:P0A6T3	galK galA b0757 JW0740
bact:GAL7_ECOLI	Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase)	uniprot:P09148	galT galB b0758 JW0741
bact:GALE_ECOLI	UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-galactose 4-epimerase)	uniprot:P09147	galE galD b0759 JW0742
bact:GALM_ECOLI	Aldose 1-epimerase (EC 5.1.3.3) (Galactose mutarotase) (Type-1 mutarotase)	uniprot:P0A9C3	galM b0756 JW0739
bact:GALP_ECOLI	Galactose-proton symporter (Galactose transporter)	uniprot:P0AEP1	galP b2943 JW2910
bact:GALU_ECOLI	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (Alpha-D-glucosyl-1-phosphate uridylyltransferase) (UDP-glucose pyrophosphorylase) (UDPGP) (Uridine diphosphoglucose pyrophosphorylase)	uniprot:P0AEP3	galU ychD b1236 JW1224
bact:GARD_ECOLI	Galactarate dehydratase (L-threo-forming) (GalcD) (EC 4.2.1.42)	uniprot:P39829	garD yhaG b3128 JW3097
bact:GARL_ECOLI	5-keto-4-deoxy-D-glucarate aldolase (KDGluc aldolase) (KDGlucA) (EC 4.1.2.20) (2-dehydro-3-deoxy-D-glucarate aldolase) (2-keto-3-deoxy-D-glucarate aldolase) (5-dehydro-4-deoxy-D-glucarate aldolase) (Alpha-keto-beta-deoxy-D-glucarate aldolase)	uniprot:P23522	garL yhaF b3126 JW3095
bact:GARP_ECOLI	Probable galactarate transporter (D-galactarate permease)	uniprot:P0AA80	garP yhaU b3127 JW3096
bact:GARR_ECOLI	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60) (Tartronate semialdehyde reductase) (TSAR)	uniprot:P0ABQ2	garR yhaE b3125 JW5526
bact:GATD_ECOLI	Galactitol 1-phosphate 5-dehydrogenase (EC 1.1.1.251)	uniprot:P0A9S3	gatD b2091 JW2075
bact:GATY_ECOLI	D-tagatose-1,6-bisphosphate aldolase subunit GatY (TBPA) (TagBP aldolase) (EC 4.1.2.40) (D-tagatose-bisphosphate aldolase class II) (Tagatose-bisphosphate aldolase)	uniprot:P0C8J6	gatY yegF b2096 JW5343
bact:GATZ_ECOLI	D-tagatose-1,6-bisphosphate aldolase subunit GatZ	uniprot:P0C8J8	gatZ b2095 JW2082
bact:GCH1_ECOLI	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	uniprot:P0A6T5	folE b2153 JW2140
bact:GCL_ECOLI	Glyoxylate carboligase (EC 4.1.1.47) (Tartronate-semialdehyde synthase)	uniprot:P0AEP7	gcl b0507 JW0495
bact:GCSH_ECOLI	Glycine cleavage system H protein	uniprot:P0A6T9	gcvH b2904 JW2872
bact:GCSP_ECOLI	Glycine dehydrogenase (decarboxylating) (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring))	uniprot:P33195	gcvP b2903 JW2871
bact:GCST_ECOLI	Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein)	uniprot:P27248	gcvT b2905 JW2873
bact:GGT_ECOLI	Gamma-glutamyltranspeptidase (EC 2.3.2.2) (Glutathione hydrolase) (EC 3.4.19.13) [Cleaved into: Gamma-glutamyltranspeptidase large chain; Gamma-glutamyltranspeptidase small chain]	uniprot:P18956	ggt b3447 JW3412
bact:GHRA_ECOLI	Glyoxylate/hydroxypyruvate reductase A (EC 1.1.1.79) (EC 1.1.1.81) (2-ketoacid reductase)	uniprot:P75913	ghrA ycdW b1033 JW5146
bact:GHRB_ECOLI	Glyoxylate/hydroxypyruvate reductase B (EC 1.1.1.79) (EC 1.1.1.81) (2-ketoaldonate reductase) (2-ketogluconate reductase) (2KR) (EC 1.1.1.215)	uniprot:P37666	ghrB tkrA yiaE b3553 JW5656
bact:GLCA_ECOLI	Glycolate permease GlcA	uniprot:Q46839	glcA yghK b2975 JW2942
bact:GLCD_ECOLI	Glycolate oxidase subunit GlcD	uniprot:P0AEP9	glcD gox yghM b2979 JW2946
bact:GLCE_ECOLI	Glycolate oxidase subunit GlcE	uniprot:P52073	glcE gox yghL b4468 JW5487
bact:GLCF_ECOLI	Glycolate oxidase iron-sulfur subunit	uniprot:P52074	glcF gox yghL b4467 JW5486
bact:GLDA_ECOLI	Glycerol dehydrogenase (GDH) (GLDH) (EC 1.1.1.6)	uniprot:P0A9S5	gldA b3945 JW5556
bact:GLF_ECOLI	UDP-galactopyranose mutase (UGM) (EC 5.4.99.9) (UDP-GALP mutase) (Uridine 5-diphosphate galactopyranose mutase)	uniprot:P37747	glf yefE b2036 JW2021
bact:GLGA_ECOLI	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	uniprot:P0A6U8	glgA b3429 JW3392
bact:GLGB_ECOLI	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	uniprot:P07762	glgB b3432 JW3395
bact:GLGC_ECOLI	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) (ADP-glucose synthase)	uniprot:P0A6V1	glgC b3430 JW3393
bact:GLGX_ECOLI	Glycogen debranching enzyme (EC 3.2.1.-) (Glycogen operon protein GlgX)	uniprot:P15067	glgX glyX b3431 JW3394
bact:GLK_ECOLI	Glucokinase (EC 2.7.1.2) (Glucose kinase)	uniprot:P0A6V8	glk b2388 JW2385
bact:GLMM_ECOLI	Phosphoglucosamine mutase (EC 5.4.2.10)	uniprot:P31120	glmM mrsA yhbF b3176 JW3143
bact:GLMS_ECOLI	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	uniprot:P17169	glmS b3729 JW3707
bact:GLMU_ECOLI	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	uniprot:P0ACC7	glmU yieA b3730 JW3708
bact:GLN1B_ECOLI	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I beta) (GSI beta)	uniprot:P0A9C5	glnA b3870 JW3841
bact:GLNH_ECOLI	Glutamine-binding periplasmic protein (GlnBP)	uniprot:P0AEQ3	glnH b0811 JW0796
bact:GLNP_ECOLI	Glutamine transport system permease protein GlnP	uniprot:P0AEQ6	glnP b0810 JW0795
bact:GLNQ_ECOLI	Glutamine transport ATP-binding protein GlnQ	uniprot:P10346	glnQ b0809 JW0794
bact:GLO2_ECOLI	Hydroxyacylglutathione hydrolase GloB (EC 3.1.2.6) (Glyoxalase II) (Glx II)	uniprot:P0AC84	gloB yafR b0212 JW0202
bact:GLPA_ECOLI	Anaerobic glycerol-3-phosphate dehydrogenase subunit A (G-3-P dehydrogenase) (EC 1.1.5.3)	uniprot:P0A9C0	glpA b2241 JW2235
bact:GLPB_ECOLI	Anaerobic glycerol-3-phosphate dehydrogenase subunit B (Anaerobic G-3-P dehydrogenase subunit B) (Anaerobic G3Pdhase B) (EC 1.1.5.3)	uniprot:P13033	glpB b2242 JW2236
bact:GLPC_ECOLI	Anaerobic glycerol-3-phosphate dehydrogenase subunit C (G-3-P dehydrogenase)	uniprot:P0A996	glpC b2243 JW2237
bact:GLPD_ECOLI	Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	uniprot:P13035	glpD glyD b3426 JW3389
bact:GLPE_ECOLI	Thiosulfate sulfurtransferase GlpE (EC 2.8.1.1)	uniprot:P0A6V5	glpE b3425 JW3388
bact:GLPF_ECOLI	Glycerol uptake facilitator protein (Aquaglyceroporin)	uniprot:P0AER0	glpF b3927 JW3898
bact:GLPK_ECOLI	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	uniprot:P0A6F3	glpK b3926 JW3897
bact:GLPQ_ECOLI	Glycerophosphodiester phosphodiesterase, periplasmic (Glycerophosphoryl diester phosphodiesterase, periplasmic) (EC 3.1.4.46)	uniprot:P09394	glpQ b2239 JW2233
bact:GLPT_ECOLI	Glycerol-3-phosphate transporter (G-3-P transporter) (G-3-P permease)	uniprot:P08194	glpT b2240 JW2234
bact:GLPX2_ECOLI	Fructose-1,6-bisphosphatase 2 class 2 (FBPase 2 class 2) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 2 class 2)	uniprot:P21437	yggF yggK b2930 JW2897
bact:GLPX_ECOLI	Fructose-1,6-bisphosphatase 1 class 2 (FBPase 1 class 2) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 1 class 2)	uniprot:P0A9C9	glpX b3925 JW3896
bact:GLRX1_ECOLI	Glutaredoxin 1 (Grx1)	uniprot:P68688	grxA grx b0849 JW0833
bact:GLRX2_ECOLI	Glutaredoxin 2 (Grx2)	uniprot:P0AC59	grxB b1064 JW1051
bact:GLRX3_ECOLI	Glutaredoxin 3 (Grx3)	uniprot:P0AC62	grxC yibM b3610 JW3585
bact:GLRX4_ECOLI	Glutaredoxin 4 (Grx4) (Monothiol glutaredoxin)	uniprot:P0AC69	grxD ydhD b1654 JW1646
bact:GLSA1_ECOLI	Glutaminase 1 (EC 3.5.1.2)	uniprot:P77454	glsA1 ybaS b0485 JW0474
bact:GLSA2_ECOLI	Glutaminase 2 (EC 3.5.1.2)	uniprot:P0A6W0	glsA2 yneH b1524 JW1517
bact:GLTB_ECOLI	Glutamate synthase [NADPH] large chain (EC 1.4.1.13) (Glutamate synthase subunit alpha) (GLTS alpha chain) (NADPH-GOGAT)	uniprot:P09831	gltB aspB b3212 JW3179
